Country,TradeType,MonYear,Values
Philippines,Imports,11/1/2022,581054
Thailand,Imports,11/1/2022,1241990
Myanmar,Imports,11/1/2022,6044
Cambodia,Imports,11/1/2022,16407
Laos People's Democratic Republic,Imports,11/1/2022,4963
"Vietnam, Socialist Republic Of",Imports,11/1/2022,488956
Japan,Imports,11/1/2022,2837697
Hong Kong,Imports,11/1/2022,169227
Republic Of Korea,Imports,11/1/2022,2863026
Taiwan,Imports,11/1/2022,5319407
Macau,Imports,11/1/2022,17054
Mainland China,Imports,11/1/2022,8285837
Afghanistan,Imports,11/1/2022,26
Bangladesh,Imports,11/1/2022,25709
India,Imports,11/1/2022,837673
"Maldives, Republic Of",Imports,11/1/2022,145
Nepal,Imports,11/1/2022,612
Pakistan,Imports,11/1/2022,10169
Sri Lanka,Imports,11/1/2022,12169
Bahrain,Imports,11/1/2022,11520
Cyprus,Imports,11/1/2022,2385
Iran,Imports,11/1/2022,267
Israel,Imports,11/1/2022,85965
Jordan,Imports,11/1/2022,7262
Kuwait,Imports,11/1/2022,54562
Lebanon,Imports,11/1/2022,578
Oman,Imports,11/1/2022,60005
Qatar,Imports,11/1/2022,476149
Saudi Arabia,Imports,11/1/2022,866619
Syrian Arab Republic,Imports,11/1/2022,0
United Arab Emirates,Imports,11/1/2022,1205738
Yemen,Imports,11/1/2022,106
Yemen Democratic,Imports,11/1/2022,0
Canada,Imports,11/1/2022,224872
Puerto Rico,Imports,11/1/2022,16518
United States,Imports,11/1/2022,5832049
Argentina,Imports,11/1/2022,6775
Brazil,Imports,11/1/2022,1132945
Chile,Imports,11/1/2022,13831
Colombia,Imports,11/1/2022,4436
Ecuador,Imports,11/1/2022,2745
Mexico,Imports,11/1/2022,242881
Paraguay,Imports,11/1/2022,281
Peru,Imports,11/1/2022,2155
Uruguay,Imports,11/1/2022,779
Venezuela,Imports,11/1/2022,720
Australia,Imports,11/1/2022,577829
Fiji,Imports,11/1/2022,191
New Caledonia,Imports,11/1/2022,256
New Zealand,Imports,11/1/2022,72677
Papua New Guinea,Imports,11/1/2022,12724
French Polynesia,Imports,11/1/2022,35
Guam,Imports,11/1/2022,104
Solomon Islands,Imports,11/1/2022,13
Other Countries In Oceania,Imports,11/1/2022,3090
Norway,Imports,11/1/2022,43134
Liechtenstein,Imports,11/1/2022,3686
Netherlands Antilles,Imports,11/1/2022,0
Panama,Imports,11/1/2022,116
Bahamas,Imports,11/1/2022,4
Bermuda,Imports,11/1/2022,4
French Guiana,Imports,11/1/2022,517
Grenada,Imports,11/1/2022,19
Guatemala,Imports,11/1/2022,997
Honduras,Imports,11/1/2022,838
Jamaica,Imports,11/1/2022,117
St Vincent & The Grenadines,Imports,11/1/2022,0
Trinidad & Tobago,Imports,11/1/2022,2854
Anguilla,Imports,11/1/2022,0
Other Countries In America,Imports,11/1/2022,43918
Nauru,Imports,11/1/2022,0
Cocos,Imports,11/1/2022,0
French Southern Territories,Imports,11/1/2022,99
Norfolk Island,Imports,11/1/2022,0
Cook Islands,Imports,11/1/2022,0
Kiribati,Imports,11/1/2022,3
Niue,Imports,11/1/2022,0
Tuvalu,Imports,11/1/2022,0
Wallis & Fatuna Islands,Imports,11/1/2022,0
Micronesia,Imports,11/1/2022,8
Palau,Imports,11/1/2022,0
South Sudan,Imports,11/1/2022,27952
Commonwealth Of Independent States,Imports,11/1/2022,355213
Belgium,Exports,11/1/2022,756814
Denmark,Exports,11/1/2022,29250
France,Exports,11/1/2022,324451
"Germany, Federal Republic Of",Exports,11/1/2022,927112
Greece,Exports,11/1/2022,126740
Ireland,Exports,11/1/2022,33157
Italy,Exports,11/1/2022,167460
Luxembourg,Exports,11/1/2022,4663
Netherlands,Exports,11/1/2022,1190952
United Kingdom,Exports,11/1/2022,322583
Portugal,Exports,11/1/2022,74028
Spain,Exports,11/1/2022,23462
Austria,Exports,11/1/2022,40047
Finland,Exports,11/1/2022,19921
Sweden,Exports,11/1/2022,18936
Switzerland,Exports,11/1/2022,328426
Malta,Exports,11/1/2022,245180
"Germany, Democratic Republic Of",Exports,11/1/2022,0
Hungary,Exports,11/1/2022,63588
Poland,Exports,11/1/2022,63246
Estonia,Exports,11/1/2022,1005
Latvia,Exports,11/1/2022,2792
Lithuania,Exports,11/1/2022,3033
Slovenia,Exports,11/1/2022,6222
Czech Republic,Exports,11/1/2022,25261
Slovak Republic,Exports,11/1/2022,2481
Brunei Darussalam,Exports,11/1/2022,65457
Indonesia,Exports,11/1/2022,4082822
Malaysia,Exports,11/1/2022,5557119
Philippines,Exports,11/1/2022,1118234
Thailand,Exports,11/1/2022,1762557
Myanmar,Exports,11/1/2022,392738
Cambodia,Exports,11/1/2022,280992
Laos People's Democratic Republic,Exports,11/1/2022,2950
"Vietnam, Socialist Republic Of",Exports,11/1/2022,1568729
Japan,Exports,11/1/2022,2504491
Hong Kong,Exports,11/1/2022,5302426
Republic Of Korea,Exports,11/1/2022,2165065
Taiwan,Exports,11/1/2022,2667565
Macau,Exports,11/1/2022,42902
Mainland China,Exports,11/1/2022,6773005
Afghanistan,Exports,11/1/2022,272
Bangladesh,Exports,11/1/2022,339772
India,Exports,11/1/2022,1467219
"Maldives, Republic Of",Exports,11/1/2022,34754
Nepal,Exports,11/1/2022,12037
Pakistan,Exports,11/1/2022,111265
Sri Lanka,Exports,11/1/2022,133349
Bahrain,Exports,11/1/2022,21034
Cyprus,Exports,11/1/2022,57791
Iran,Exports,11/1/2022,1091
Israel,Exports,11/1/2022,122699
Jordan,Exports,11/1/2022,8410
Kuwait,Exports,11/1/2022,44896
Lebanon,Exports,11/1/2022,2798
Oman,Exports,11/1/2022,16674
Qatar,Exports,11/1/2022,172041
Saudi Arabia,Exports,11/1/2022,106397
Syrian Arab Republic,Exports,11/1/2022,62
United Arab Emirates,Exports,11/1/2022,901306
Yemen,Exports,11/1/2022,1322
Yemen Democratic,Exports,11/1/2022,0
Canada,Exports,11/1/2022,96999
Puerto Rico,Exports,11/1/2022,56271
