Country,MonYear,TradeType,Values
Portugal,6/1/2021,Imports,26654
Portugal,6/1/2022,Imports,46698
Portugal,3/1/2020,Imports,23454
Portugal,3/1/2021,Imports,25598
Portugal,3/1/2022,Imports,27227
Portugal,5/1/2020,Imports,28262
Portugal,5/1/2021,Imports,29598
Portugal,5/1/2022,Imports,36291
Portugal,11/1/2020,Imports,32639
Portugal,11/1/2021,Imports,46248
Portugal,11/1/2022,Imports,33086
Portugal,10/1/2020,Imports,24745
Portugal,10/1/2021,Imports,31786
Portugal,10/1/2022,Imports,39971
Portugal,9/1/2020,Imports,25179
Portugal,9/1/2021,Imports,23695
Portugal,9/1/2022,Imports,47500
Spain,4/1/2020,Imports,83269
Spain,4/1/2021,Imports,122269
Spain,4/1/2022,Imports,274544
Spain,8/1/2020,Imports,96174
Spain,8/1/2021,Imports,127928
Spain,8/1/2022,Imports,200170
Spain,12/1/2020,Imports,122939
Spain,12/1/2021,Imports,224196
Spain,12/1/2022,Imports,262629
Spain,2/1/2020,Imports,130066
Spain,2/1/2021,Imports,74255
Spain,2/1/2022,Imports,160044
Spain,1/1/2020,Imports,122480
Spain,1/1/2021,Imports,96740
Spain,1/1/2022,Imports,161163
Spain,7/1/2020,Imports,116899
Spain,7/1/2021,Imports,161918
Spain,7/1/2022,Imports,178600
Spain,6/1/2020,Imports,90908
Spain,6/1/2021,Imports,158635
Spain,6/1/2022,Imports,317461
Spain,3/1/2020,Imports,130455
Spain,3/1/2021,Imports,152000
Spain,3/1/2022,Imports,295111
Spain,5/1/2020,Imports,111422
Spain,5/1/2021,Imports,151689
Spain,5/1/2022,Imports,189520
Spain,11/1/2020,Imports,102382
Spain,11/1/2021,Imports,241436
Spain,11/1/2022,Imports,245875
Spain,10/1/2020,Imports,108532
Spain,10/1/2021,Imports,136456
Spain,10/1/2022,Imports,184146
Spain,9/1/2020,Imports,105065
Spain,9/1/2021,Imports,127511
Spain,9/1/2022,Imports,209987
Austria,4/1/2020,Imports,95240
Austria,4/1/2021,Imports,94048
Austria,4/1/2022,Imports,82248
Austria,8/1/2020,Imports,62639
Austria,8/1/2021,Imports,83447
Austria,8/1/2022,Imports,105197
Austria,12/1/2020,Imports,82619
Austria,12/1/2021,Imports,83670
Austria,12/1/2022,Imports,104665
Austria,2/1/2020,Imports,73180
Austria,2/1/2021,Imports,71945
Austria,2/1/2022,Imports,80431
Austria,1/1/2020,Imports,80100
Austria,1/1/2021,Imports,81536
Austria,1/1/2022,Imports,83123
Austria,7/1/2020,Imports,74273
Austria,7/1/2021,Imports,88077
Austria,7/1/2022,Imports,118935
Austria,6/1/2020,Imports,62225
Austria,6/1/2021,Imports,96163
Austria,6/1/2022,Imports,114118
Austria,3/1/2020,Imports,74845
Austria,3/1/2021,Imports,99453
Austria,3/1/2022,Imports,106396
Austria,5/1/2020,Imports,55455
Austria,5/1/2021,Imports,101445
Austria,5/1/2022,Imports,116496
Austria,11/1/2020,Imports,65703
Austria,11/1/2021,Imports,103436
Austria,11/1/2022,Imports,105084
Austria,10/1/2020,Imports,78136
Austria,10/1/2021,Imports,100316
Austria,10/1/2022,Imports,101231
Austria,9/1/2020,Imports,72914
Austria,9/1/2021,Imports,162633
Austria,9/1/2022,Imports,130438
Finland,4/1/2020,Imports,34650
Finland,4/1/2021,Imports,36804
Finland,4/1/2022,Imports,98354
Finland,8/1/2020,Imports,34716
Finland,8/1/2021,Imports,49240
Finland,8/1/2022,Imports,38114
Finland,12/1/2020,Imports,34795
Finland,12/1/2021,Imports,49936
Finland,12/1/2022,Imports,42399
Finland,2/1/2020,Imports,34683
Finland,2/1/2021,Imports,28963
Finland,2/1/2022,Imports,30725
Finland,1/1/2020,Imports,29925
Finland,1/1/2021,Imports,27919
Finland,1/1/2022,Imports,59916
Finland,7/1/2020,Imports,44018
Finland,7/1/2021,Imports,37715
Finland,7/1/2022,Imports,91645
Finland,6/1/2020,Imports,40693
Finland,6/1/2021,Imports,32498
Finland,6/1/2022,Imports,73548
Finland,3/1/2020,Imports,45871
Finland,3/1/2021,Imports,42688
Finland,3/1/2022,Imports,58259
Finland,5/1/2020,Imports,31694
Finland,5/1/2021,Imports,34773
Finland,5/1/2022,Imports,87196
Finland,11/1/2020,Imports,35730
Finland,11/1/2021,Imports,36026
Finland,11/1/2022,Imports,49148
Finland,10/1/2020,Imports,34951
Finland,10/1/2021,Imports,46534
Finland,10/1/2022,Imports,49749
Finland,9/1/2020,Imports,36908
Finland,9/1/2021,Imports,40729
Finland,9/1/2022,Imports,48419
Sweden,4/1/2020,Imports,129160
Sweden,4/1/2021,Imports,173900
Sweden,4/1/2022,Imports,163301
Sweden,8/1/2020,Imports,84892
Sweden,8/1/2021,Imports,209660
Sweden,8/1/2022,Imports,107557
Sweden,12/1/2020,Imports,161400
Sweden,12/1/2021,Imports,181120
Sweden,12/1/2022,Imports,162253
Sweden,2/1/2020,Imports,98183
Sweden,2/1/2021,Imports,123206
Sweden,2/1/2022,Imports,175309
Sweden,1/1/2020,Imports,118465
Sweden,1/1/2021,Imports,128405
Sweden,1/1/2022,Imports,149089
Sweden,7/1/2020,Imports,123624
Sweden,7/1/2021,Imports,176030
Sweden,7/1/2022,Imports,181260
Sweden,6/1/2020,Imports,125208
Sweden,6/1/2021,Imports,185878
Sweden,6/1/2022,Imports,168909
Sweden,3/1/2020,Imports,220796
Sweden,3/1/2021,Imports,150127
Sweden,3/1/2022,Imports,257417
Sweden,5/1/2020,Imports,116142
Sweden,5/1/2021,Imports,158396
Sweden,5/1/2022,Imports,170417
Sweden,11/1/2020,Imports,111295
Sweden,11/1/2021,Imports,175272
Sweden,11/1/2022,Imports,196484
Sweden,10/1/2020,Imports,134101
Sweden,10/1/2021,Imports,204238
Sweden,10/1/2022,Imports,180230
Sweden,9/1/2020,Imports,114475
Sweden,9/1/2021,Imports,166433
Sweden,9/1/2022,Imports,143127
Switzerland,4/1/2020,Imports,482705
Switzerland,4/1/2021,Imports,1004553
Switzerland,4/1/2022,Imports,844154
Switzerland,8/1/2020,Imports,818335
Switzerland,8/1/2021,Imports,592419
Switzerland,8/1/2022,Imports,1420434
Switzerland,12/1/2020,Imports,631159
Switzerland,12/1/2021,Imports,773415
Switzerland,12/1/2022,Imports,992687
Switzerland,2/1/2020,Imports,724391
Switzerland,2/1/2021,Imports,639679
Switzerland,2/1/2022,Imports,988959
Switzerland,1/1/2020,Imports,970886
Switzerland,1/1/2021,Imports,753225
Switzerland,1/1/2022,Imports,1374633
Switzerland,7/1/2020,Imports,726897
Switzerland,7/1/2021,Imports,880337
Switzerland,7/1/2022,Imports,1937455
Switzerland,6/1/2020,Imports,560427
Switzerland,6/1/2021,Imports,627453
Switzerland,6/1/2022,Imports,941426
Switzerland,3/1/2020,Imports,832311
Switzerland,3/1/2021,Imports,1901500
Switzerland,3/1/2022,Imports,1000366
Switzerland,5/1/2020,Imports,446190
Switzerland,5/1/2021,Imports,918046
Switzerland,5/1/2022,Imports,1433645
Switzerland,11/1/2020,Imports,798242
Switzerland,11/1/2021,Imports,991215
Switzerland,11/1/2022,Imports,949410
Switzerland,10/1/2020,Imports,597361
Switzerland,10/1/2021,Imports,975916
Switzerland,10/1/2022,Imports,1811943
Switzerland,9/1/2020,Imports,597220
Switzerland,9/1/2021,Imports,982530
Switzerland,9/1/2022,Imports,1758858
Malta,4/1/2020,Imports,23609
Malta,4/1/2021,Imports,44893
Malta,4/1/2022,Imports,26320
Malta,8/1/2020,Imports,16899
Malta,8/1/2021,Imports,20379
Malta,8/1/2022,Imports,40703
Malta,12/1/2020,Imports,32239
Malta,12/1/2021,Imports,76979
Malta,12/1/2022,Imports,41040
Malta,2/1/2020,Imports,14917
Malta,2/1/2021,Imports,14389
Malta,2/1/2022,Imports,81616
Malta,1/1/2020,Imports,42930
Malta,1/1/2021,Imports,51714
Malta,1/1/2022,Imports,18169
Malta,7/1/2020,Imports,19717
Malta,7/1/2021,Imports,54541
Malta,7/1/2022,Imports,54619
Malta,6/1/2020,Imports,26047
Malta,6/1/2021,Imports,69906
Malta,6/1/2022,Imports,21429
Malta,3/1/2020,Imports,20391
Malta,3/1/2021,Imports,19176
Malta,3/1/2022,Imports,23192
Malta,5/1/2020,Imports,15044
Malta,5/1/2021,Imports,14958
Malta,5/1/2022,Imports,25475
Malta,11/1/2020,Imports,14927
Malta,11/1/2021,Imports,65852
Malta,11/1/2022,Imports,23080
Malta,10/1/2020,Imports,19082
Malta,10/1/2021,Imports,156403
Malta,10/1/2022,Imports,51734
Malta,9/1/2020,Imports,16183
Malta,9/1/2021,Imports,145303
Malta,9/1/2022,Imports,23836
"Germany, Democratic Republic Of",4/1/2020,Imports,0
"Germany, Democratic Republic Of",4/1/2021,Imports,0
"Germany, Democratic Republic Of",4/1/2022,Imports,0
"Germany, Democratic Republic Of",8/1/2020,Imports,0
"Germany, Democratic Republic Of",8/1/2021,Imports,0
"Germany, Democratic Republic Of",8/1/2022,Imports,0
"Germany, Democratic Republic Of",12/1/2020,Imports,0
"Germany, Democratic Republic Of",12/1/2021,Imports,0
"Germany, Democratic Republic Of",12/1/2022,Imports,0
"Germany, Democratic Republic Of",2/1/2020,Imports,0
"Germany, Democratic Republic Of",2/1/2021,Imports,0
"Germany, Democratic Republic Of",2/1/2022,Imports,0
"Germany, Democratic Republic Of",1/1/2020,Imports,0
"Germany, Democratic Republic Of",1/1/2021,Imports,0
"Germany, Democratic Republic Of",1/1/2022,Imports,0
"Germany, Democratic Republic Of",7/1/2020,Imports,0
"Germany, Democratic Republic Of",7/1/2021,Imports,0
"Germany, Democratic Republic Of",7/1/2022,Imports,0
"Germany, Democratic Republic Of",6/1/2020,Imports,0
"Germany, Democratic Republic Of",6/1/2021,Imports,0
"Germany, Democratic Republic Of",6/1/2022,Imports,0
"Germany, Democratic Republic Of",3/1/2020,Imports,0
"Germany, Democratic Republic Of",3/1/2021,Imports,0
"Germany, Democratic Republic Of",3/1/2022,Imports,0
"Germany, Democratic Republic Of",5/1/2020,Imports,0
"Germany, Democratic Republic Of",5/1/2021,Imports,0
"Germany, Democratic Republic Of",5/1/2022,Imports,0
"Germany, Democratic Republic Of",11/1/2020,Imports,0
"Germany, Democratic Republic Of",11/1/2021,Imports,0
"Germany, Democratic Republic Of",11/1/2022,Imports,0
"Germany, Democratic Republic Of",10/1/2020,Imports,0
"Germany, Democratic Republic Of",10/1/2021,Imports,0
"Germany, Democratic Republic Of",10/1/2022,Imports,0
"Germany, Democratic Republic Of",9/1/2020,Imports,0
"Germany, Democratic Republic Of",9/1/2021,Imports,0
"Germany, Democratic Republic Of",9/1/2022,Imports,0
Hungary,4/1/2020,Imports,30516
Hungary,4/1/2021,Imports,42392
Hungary,4/1/2022,Imports,37592
Hungary,8/1/2020,Imports,29737
Hungary,8/1/2021,Imports,45149
Hungary,8/1/2022,Imports,39917
Hungary,12/1/2020,Imports,52883
Hungary,12/1/2021,Imports,36759
Hungary,12/1/2022,Imports,44406
Hungary,2/1/2020,Imports,25341
Hungary,2/1/2021,Imports,26286
Hungary,2/1/2022,Imports,27612
Hungary,1/1/2020,Imports,24246
Hungary,1/1/2021,Imports,34167
Hungary,1/1/2022,Imports,37471
Hungary,7/1/2020,Imports,34092
Hungary,7/1/2021,Imports,46002
Hungary,7/1/2022,Imports,48975
Hungary,6/1/2020,Imports,29820
Hungary,6/1/2021,Imports,50593
Hungary,6/1/2022,Imports,44843
Hungary,3/1/2020,Imports,35228
Hungary,3/1/2021,Imports,42244
Hungary,3/1/2022,Imports,38279
Hungary,5/1/2020,Imports,21876
Hungary,5/1/2021,Imports,52466
Hungary,5/1/2022,Imports,36746
Hungary,11/1/2020,Imports,43674
Hungary,11/1/2021,Imports,33511
Hungary,11/1/2022,Imports,46849
Hungary,10/1/2020,Imports,42690
Hungary,10/1/2021,Imports,42209
Hungary,10/1/2022,Imports,42761
Hungary,9/1/2020,Imports,36664
Hungary,9/1/2021,Imports,37453
Hungary,9/1/2022,Imports,38367
Poland,4/1/2020,Imports,49027
Poland,4/1/2021,Imports,61091
Poland,4/1/2022,Imports,68894
Poland,8/1/2020,Imports,39813
Poland,8/1/2021,Imports,61559
Poland,8/1/2022,Imports,64268
Poland,12/1/2020,Imports,57325
Poland,12/1/2021,Imports,79301
Poland,12/1/2022,Imports,61324
Poland,2/1/2020,Imports,58527
Poland,2/1/2021,Imports,45736
Poland,2/1/2022,Imports,57103
Poland,1/1/2020,Imports,50706
Poland,1/1/2021,Imports,47566
Poland,1/1/2022,Imports,60535
Poland,7/1/2020,Imports,38295
Poland,7/1/2021,Imports,57666
Poland,7/1/2022,Imports,57608
