Sex,Planning Area,Age Group,Population,Pop_Proportion
Male,Western Water Catchment,25 - 29,30,7.32%
Male,Western Water Catchment,30 - 34,20,4.88%
Male,Western Water Catchment,35 - 39,40,9.76%
Male,Western Water Catchment,40 - 44,50,12.20%
Male,Western Water Catchment,45 - 49,30,7.32%
Male,Western Water Catchment,50 - 54,40,9.76%
Male,Western Water Catchment,55 - 59,40,9.76%
Male,Western Water Catchment,60 - 64,20,4.88%
Male,Western Water Catchment,65 - 69,10,2.44%
Male,Western Water Catchment,70 - 74,10,2.44%
Male,Western Water Catchment,75 - 79,0,0.00%
Male,Western Water Catchment,80 - 84,0,0.00%
Male,Western Water Catchment,85 & Over,0,0.00%
Male,Woodlands,0 - 4,6200,4.92%
Male,Woodlands,5 - 9,7400,5.88%
Male,Woodlands,10 - 14,8790,6.98%
Male,Woodlands,15 - 19,10830,8.60%
Male,Woodlands,20 - 24,10320,8.20%
Male,Woodlands,25 - 29,9000,7.15%
Male,Woodlands,30 - 34,9050,7.19%
Male,Woodlands,35 - 39,9000,7.15%
Male,Woodlands,40 - 44,10010,7.95%
Male,Woodlands,45 - 49,11100,8.82%
Male,Woodlands,50 - 54,11060,8.79%
Male,Woodlands,55 - 59,8800,6.99%
Male,Woodlands,60 - 64,6100,4.85%
Male,Woodlands,65 - 69,3760,2.99%
Male,Woodlands,70 - 74,1860,1.48%
Male,Woodlands,75 - 79,1390,1.10%
Male,Woodlands,80 - 84,780,0.62%
Male,Woodlands,85 & Over,440,0.35%
Male,Yishun,0 - 4,5250,5.25%
Male,Yishun,5 - 9,5070,5.07%
Male,Yishun,10 - 14,5400,5.40%
Male,Yishun,15 - 19,6270,6.27%
Male,Yishun,20 - 24,7380,7.38%
Male,Yishun,25 - 29,8360,8.36%
Male,Yishun,30 - 34,8350,8.35%
Male,Yishun,35 - 39,7550,7.55%
Male,Yishun,40 - 44,7490,7.49%
Male,Yishun,45 - 49,7350,7.35%
Male,Yishun,50 - 54,8580,8.58%
Male,Yishun,55 - 59,7870,7.87%
Male,Yishun,60 - 64,6250,6.25%
Male,Yishun,65 - 69,4090,4.09%
Male,Yishun,70 - 74,2110,2.11%
Male,Yishun,75 - 79,1440,1.44%
Male,Yishun,80 - 84,780,0.78%
Male,Yishun,85 & Over,460,0.46%
