Sex,Planning Area,Age Group,Population,Pop_Proportion
Female,Orchard,70 - 74,10,2.04%
Female,Orchard,75 - 79,10,2.04%
Female,Orchard,80 - 84,0,0.00%
Female,Orchard,85 & Over,0,0.00%
Female,Outram,0 - 4,690,6.31%
Female,Outram,5 - 9,540,4.94%
Female,Outram,10 - 14,350,3.20%
Female,Outram,15 - 19,350,3.20%
Female,Outram,20 - 24,420,3.84%
Female,Outram,25 - 29,600,5.49%
Female,Outram,30 - 34,900,8.23%
Female,Outram,35 - 39,1090,9.97%
Female,Outram,40 - 44,800,7.32%
Female,Outram,45 - 49,710,6.50%
Female,Outram,50 - 54,680,6.22%
Female,Outram,55 - 59,730,6.68%
Female,Outram,60 - 64,750,6.86%
Female,Outram,65 - 69,710,6.50%
Female,Outram,70 - 74,460,4.21%
Female,Outram,75 - 79,450,4.12%
Female,Outram,80 - 84,300,2.74%
Female,Outram,85 & Over,400,3.66%
Female,Pasir Ris,0 - 4,2810,3.97%
Female,Pasir Ris,5 - 9,3430,4.85%
Female,Pasir Ris,10 - 14,4370,6.17%
Female,Pasir Ris,15 - 19,6000,8.48%
Female,Pasir Ris,20 - 24,6520,9.21%
Female,Pasir Ris,25 - 29,4500,6.36%
Female,Pasir Ris,30 - 34,4110,5.81%
Female,Pasir Ris,35 - 39,4920,6.95%
Female,Pasir Ris,40 - 44,5420,7.66%
Female,Pasir Ris,45 - 49,7190,10.16%
Female,Pasir Ris,50 - 54,6840,9.67%
Female,Pasir Ris,55 - 59,5020,7.09%
Female,Pasir Ris,60 - 64,3340,4.72%
Female,Pasir Ris,65 - 69,2250,3.18%
Female,Pasir Ris,70 - 74,1310,1.85%
Female,Pasir Ris,75 - 79,1100,1.55%
Female,Pasir Ris,80 - 84,830,1.17%
Female,Pasir Ris,85 & Over,810,1.14%
Female,Paya Lebar,0 - 4,0,
Female,Paya Lebar,5 - 9,0,
Female,Paya Lebar,10 - 14,0,
Female,Paya Lebar,15 - 19,0,
Female,Paya Lebar,20 - 24,0,
Female,Paya Lebar,25 - 29,0,
Female,Paya Lebar,30 - 34,0,
Female,Paya Lebar,35 - 39,0,
Female,Paya Lebar,40 - 44,0,
Female,Paya Lebar,45 - 49,0,
Female,Paya Lebar,50 - 54,0,
Female,Paya Lebar,55 - 59,0,
Female,Paya Lebar,60 - 64,0,
Female,Paya Lebar,65 - 69,0,
Female,Paya Lebar,70 - 74,0,
Female,Paya Lebar,75 - 79,0,
Female,Paya Lebar,80 - 84,0,
Female,Paya Lebar,85 & Over,0,
Female,Pioneer,0 - 4,0,
Female,Pioneer,5 - 9,0,
Female,Pioneer,10 - 14,0,
Female,Pioneer,15 - 19,0,
Female,Pioneer,20 - 24,0,
Female,Pioneer,25 - 29,0,
Female,Pioneer,30 - 34,0,
Female,Pioneer,35 - 39,0,
Female,Pioneer,40 - 44,0,
Female,Pioneer,45 - 49,0,
Female,Pioneer,50 - 54,0,
Female,Pioneer,55 - 59,0,
Female,Pioneer,60 - 64,0,
Female,Pioneer,65 - 69,0,
Female,Pioneer,70 - 74,0,
Female,Pioneer,75 - 79,0,
Female,Pioneer,80 - 84,0,
Female,Pioneer,85 & Over,0,
Female,Punggol,0 - 4,5860,10.52%
Female,Punggol,5 - 9,4460,8.01%
Female,Punggol,10 - 14,3030,5.44%
Female,Punggol,15 - 19,2120,3.81%
Female,Punggol,20 - 24,2000,3.59%
Female,Punggol,25 - 29,4060,7.29%
Female,Punggol,30 - 34,8560,15.37%
Female,Punggol,35 - 39,6530,11.73%
Female,Punggol,40 - 44,4970,8.93%
Female,Punggol,45 - 49,3040,5.46%
Female,Punggol,50 - 54,2650,4.76%
Female,Punggol,55 - 59,2450,4.40%
Female,Punggol,60 - 64,2130,3.83%
Female,Punggol,65 - 69,1610,2.89%
Female,Punggol,70 - 74,870,1.56%
Female,Punggol,75 - 79,580,1.04%
Female,Punggol,80 - 84,390,0.70%
Female,Punggol,85 & Over,370,0.66%
Female,Queenstown,0 - 4,2150,4.14%
Female,Queenstown,5 - 9,2220,4.28%
Female,Queenstown,10 - 14,2160,4.16%
Female,Queenstown,15 - 19,2390,4.60%
Female,Queenstown,20 - 24,2760,5.32%
Female,Queenstown,25 - 29,3340,6.43%
Female,Queenstown,30 - 34,3770,7.26%
Female,Queenstown,35 - 39,4120,7.94%
Female,Queenstown,40 - 44,4070,7.84%
Female,Queenstown,45 - 49,3980,7.67%
Female,Queenstown,50 - 54,3740,7.20%
Female,Queenstown,55 - 59,3530,6.80%
Female,Queenstown,60 - 64,3300,6.36%
Female,Queenstown,65 - 69,3340,6.43%
Female,Queenstown,70 - 74,2310,4.45%
Female,Queenstown,75 - 79,2150,4.14%
Female,Queenstown,80 - 84,1440,2.77%
Female,Queenstown,85 & Over,1150,2.21%
Female,River Valley,0 - 4,230,4.64%
Female,River Valley,5 - 9,300,6.05%
Female,River Valley,10 - 14,280,5.65%
Female,River Valley,15 - 19,230,4.64%
